연도,작목군,작목명,지역,면적,생산량
2020,식량,감자,경북,3270.0,69027.0
2020,식량,감자,전국,23599.0,553194.0
2020,식량,감자,광주,42.0,769.0
2020,식량,감자,대구,87.0,2002.0
2020,식량,감자,대전,51.0,1100.0
2020,식량,감자,부산,100.0,1468.0
2020,식량,감자,서울,7.0,180.0
2020,식량,감자,세종,73.0,1187.0
2020,식량,감자,울산,69.0,1380.0
2020,식량,감자,인천,177.0,3739.0
2020,식량,감자,전남,2788.0,58409.0
2020,식량,감자,전북,2226.0,43611.0
2020,식량,감자,제주,1565.0,32099.0
2020,식량,감자,충남,2159.0,50561.0
2020,식량,감자,충북,1282.0,29751.0
2021,식량,감자,강원,5715.0,172869.0
2021,식량,감자,경기,1552.0,44033.0
2021,식량,감자,경남,1726.0,39756.0
2021,식량,감자,경북,2568.0,66108.0
2021,식량,감자,전국,21745.0,554893.0
2021,식량,감자,광주,37.0,704.0
2021,식량,감자,대구,45.0,933.0
2021,식량,감자,대전,59.0,1215.0
2021,식량,감자,부산,34.0,808.0
2021,식량,감자,서울,9.0,318.0
2021,식량,감자,세종,52.0,1164.0
2021,식량,감자,울산,85.0,2160.0
2021,식량,감자,인천,174.0,4964.0
2021,식량,감자,전남,2229.0,50417.0
2021,식량,감자,전북,2138.0,39794.0
2021,식량,감자,제주,1732.0,37417.0
2021,식량,감자,충남,2564.0,66314.0
2021,식량,감자,충북,1026.0,25921.0
2022,식량,감자,강원,5181.0,172004.0
2022,식량,감자,경기,1386.0,35226.0
2022,식량,감자,경남,1954.0,33927.0
2022,식량,감자,경북,2382.0,47857.0
2022,식량,감자,전국,20088.0,480601.0
2022,식량,감자,광주,23.0,381.0
2022,식량,감자,대구,40.0,940.0
2022,식량,감자,대전,36.0,755.0
2022,식량,감자,부산,38.0,703.0
2022,식량,감자,서울,10.0,185.0
2022,식량,감자,세종,40.0,782.0
2022,식량,감자,울산,102.0,2110.0
2022,식량,감자,인천,148.0,3501.0
2022,식량,감자,전남,2598.0,56335.0
2022,식량,감자,전북,1273.0,23492.0
2022,식량,감자,제주,1759.0,32190.0
2022,식량,감자,충남,2269.0,51004.0
2022,식량,감자,충북,850.0,19208.0
2023,식량,감자,강원,5676.0,181243.0
2023,식량,감자,경기,1244.0,34580.0
2023,식량,감자,경남,1720.0,35620.0
2023,식량,감자,경북,2546.0,61871.0
2023,식량,감자,전국,22525.0,550293.0
2023,식량,감자,광주,25.0,520.0
2023,식량,감자,대구,70.0,1130.0
2023,식량,감자,대전,57.0,1341.0
2023,식량,감자,부산,42.0,698.0
2023,식량,감자,서울,12.0,293.0
2023,식량,감자,세종,36.0,619.0
2023,식량,감자,울산,77.0,1868.0
2023,식량,감자,인천,188.0,5057.0
2023,식량,감자,전남,3300.0,69278.0
2023,식량,감자,전북,2321.0,41098.0
2023,식량,감자,제주,1238.0,24719.0
2023,식량,감자,충남,2725.0,60093.0
2023,식량,감자,충북,1250.0,30264.0
2024,식량,감자,강원,5709.0,175178.0
2024,식량,감자,경기,1496.0,40434.0
2024,식량,감자,경남,1779.0,42424.0
2024,식량,감자,경북,2909.0,72248.0
2024,식량,감자,전국,23969.0,593017.0
2024,식량,감자,광주,60.0,920.0
2024,식량,감자,대구,303.0,8228.0
2024,식량,감자,대전,48.0,975.0
2024,식량,감자,부산,46.0,1218.0
2024,식량,감자,서울,16.0,439.0
2024,식량,감자,세종,30.0,706.0
2024,식량,감자,울산,83.0,2141.0
2024,식량,감자,인천,184.0,4835.0
2024,식량,감자,전남,3149.0,60939.0
2024,식량,감자,전북,2199.0,41673.0
2024,식량,감자,제주,1803.0,35150.0
2024,식량,감자,충남,2820.0,69625.0
2024,식량,감자,충북,1335.0,35883.0
2020,특약용작물,감초,강원,3.0,12.0
2020,특약용작물,감초,경기,0.0,0.0
2020,특약용작물,감초,경남,0.0,0.0
2020,특약용작물,감초,경북,8.0,33.0
2020,특약용작물,감초,광주,0.0,0.0
2020,특약용작물,감초,대구,0.0,0.0
